Number_of_cities;Dataset;Fitness;Solution;Drone;Truck;A
30;R101_3.dat;1003,54102;[[[[0, [23]], [16, [16]], [2, [2, 20, 14, 21]], [14, []], [21, []], [23, []], [3, [3, 10]], [20, []], [28, [28, 18]], [18, []], [17, [17, 8, 7]], [8, []], [7, []], [10, []], [9, [9, 30, 27]], [30, []], [27, []]], [[0, []], [1, [1, 26]], [26, []], [13, [13, 11]], [11, []], [19, [19, 29, 5]], [29, []], [24, [24, 4]], [5, []], [6, [6, 15]], [15, [22]], [22, []], [25, [25, 12]], [4, []], [12, []]]], [[[1, [1, 26]]], [[16, [16]]], [[13, [13, 11]]], [[2, [20, 14, 21]]], [[2, [2]]], [[19, [19, 29, 5]]], [[3, [3, 10]]], [[24, [24, 4]]], [[28, [28, 18]]], [[6, [6, 15]]], [[17, [17, 8, 7]]], [[15, [22]]], [[9, [9, 30, 27]]], [[25, [25, 12]]]]];2;2;8
30;R101_3.dat_30;1199,36068;[[[[0, [4, 15, 23, 25, 26, 21, 13, 1]], [13, []], [15, []], [23, []], [25, []], [4, []], [21, []], [26, []], [1, []], [28, [28]]], [[0, [16, 14, 7, 2, 11, 18, 22, 5]], [2, []], [22, []], [14, []], [16, []], [5, []], [6, [6, 17, 27, 8, 19]], [17, []], [8, []], [18, []], [7, []], [11, []], [19, []], [10, [10]], [30, [30, 20]], [20, []], [9, [9, 12]], [3, [3]], [29, [29]], [24, [24]], [12, []], [27, []]]], [[[6, [27, 8, 19]]], [[6, [6, 17]]], [[10, [10]]], [[30, [30, 20]]], [[9, [9, 12]]], [[3, [3]]], [[29, [29]]], [[24, [24]]], [[28, [28]]]]];2;2;4
30;RC101_0.5.dat;600;[[[[0, [28, 29, 23, 21, 30, 26, 27, 22, 25, 18]], [30, []], [28, []], [26, []], [27, []], [29, []], [18, []], [25, []], [23, []], [21, []], [19, [19, 20, 24]], [20, []], [24, []], [22, []]], [[0, [6, 4, 1, 3, 5, 8, 7, 15, 16, 10, 13, 9, 11, 12, 14]], [2, [2]], [6, []], [4, []], [1, []], [3, []], [5, []], [8, []], [7, []], [11, []], [12, []], [17, [17]], [14, []], [15, []], [16, []], [9, []], [13, []], [10, []]]], [[[2, [2]]], [[17, [17]]], [[19, [19]]], [[19, [20, 24]]]]];2;2;2
30;RC101_0.5.dat;586,256683;[[[[0, [19, 30, 29, 20, 22, 27, 24, 25, 23, 18, 21, 26, 28]], [29, []], [27, []], [26, []], [28, []], [30, []], [18, []], [21, []], [23, []], [25, []], [19, []], [20, []], [22, []], [24, []]], [[0, [2, 3, 5, 1, 16, 13]], [7, [7]], [6, [6]], [2, []], [3, []], [1, []], [5, []], [4, [4]], [8, [8]], [10, [10]], [11, [11]], [16, []], [13, []], [9, [9, 17]], [15, [15]], [14, [14]], [17, []], [12, [12]]]], [[[7, [7]]], [[6, [6]]], [[4, [4]]], [[8, [8]]], [[10, [10]]], [[11, [11]]], [[9, [9, 17]]], [[15, [15]]], [[14, [14]]], [[12, [12]]]]];2;2;4
30;RC101_0.5.dat;572;[[[[0, [19, 23, 18, 22, 21, 26, 27, 29, 25, 30, 28]], [22, []], [24, [24, 20]], [23, []], [25, []], [21, []], [18, []], [19, []], [20, []], [30, []], [28, []], [26, []], [27, []], [29, []]], [[0, [12, 14, 16, 15, 11, 9, 13, 10, 8, 7, 6, 4, 5, 3, 1]], [10, []], [11, []], [16, []], [15, []], [13, []], [9, []], [12, []], [14, []], [17, [17]], [8, []], [7, []], [6, []], [2, [2]], [4, []], [5, []], [3, []], [1, []]]], [[[24, [24, 20]]], [[17, [17]]], [[2, [2]]]]];2;2;8
30;RC101_0.5.dat_30;591;[[[[0, [2, 3, 5, 1, 16, 13]], [1, []], [3, []], [8, [8]], [4, [4]], [2, []], [5, []], [6, [6]], [7, [7]], [14, [14]], [17, [17, 15]], [15, []], [13, []], [9, [9]], [10, [10]], [16, []], [11, [11]], [12, [12]]], [[0, [30, 29, 28, 27, 26, 18, 22, 21, 23, 19, 24, 25, 20]], [29, []], [27, []], [26, []], [28, []], [30, []], [22, []], [25, []], [21, []], [23, []], [18, []], [19, []], [20, []], [24, []]]], [[[8, [8]]], [[4, [4]]], [[6, [6]]], [[7, [7]]], [[14, [14]]], [[17, [17, 15]]], [[9, [9]]], [[10, [10]]], [[11, [11]]], [[12, [12]]]]];2;2;4
30;RC101_1.5.dat;832;[[[[0, [30, 29, 27, 26, 28, 19, 18, 21, 23, 20]], [29, []], [27, []], [26, []], [28, []], [30, []], [20, []], [19, [25, 22]], [18, []], [21, []], [23, []], [25, []], [24, [24]], [22, []]], [[0, [7, 8, 16, 15, 11, 4, 2, 9, 1, 3, 12, 14]], [2, []], [6, [6]], [4, []], [5, [5, 13]], [1, []], [3, []], [8, []], [7, []], [14, []], [17, [17, 10]], [16, []], [15, []], [11, []], [10, []], [13, []], [9, []], [12, []]]], [[[6, [6]]], [[5, [5, 13]]], [[17, [17, 10]]], [[19, [25, 22]]], [[24, [24]]]]];2;2;2
30;RC101_1.5.dat;825;[[[[0, [1]], [5, [5, 11]], [3, [3, 26]], [1, []], [2, [2, 10, 16]], [7, [7]], [14, [14]], [17, [17, 15]], [11, []], [15, []], [16, []], [10, [30, 29, 27, 28]], [27, []], [26, []], [30, []], [28, []], [29, []]], [[0, [6, 4, 13, 18, 23, 8, 21, 19]], [6, []], [4, []], [8, []], [12, [12, 25]], [13, []], [9, [9, 22]], [25, []], [23, []], [21, []], [18, []], [19, []], [20, [20]], [24, [24]], [22, []]]], [[[5, [5, 11]]], [[3, [3, 26]]], [[2, [2]]], [[2, [10, 16]]], [[7, [7]]], [[14, [14]]], [[17, [17, 15]]], [[10, [27, 28]]], [[10, [30, 29]]], [[12, [12, 25]]], [[9, [9, 22]]], [[20, [20]]], [[24, [24]]]]];2;2;4
30;RC101_1.5.dat;765,3126977;[[[[0, [1, 11, 23]], [5, [5, 2, 3]], [3, []], [4, [4, 16]], [7, [7, 14]], [1, []], [2, []], [6, [6, 8, 22]], [8, []], [12, [12, 17, 9, 25]], [14, []], [17, []], [16, []], [15, [15, 21]], [11, []], [10, [10]], [9, []], [25, []], [23, []], [21, []], [22, []]], [[0, []], [13, [13]], [20, [20, 18, 19, 28, 29, 26]], [18, []], [19, []], [24, [24, 27, 30]], [29, []], [27, []], [26, []], [28, []], [30, []]]], [[[5, [5, 2, 3]]], [[13, [13]]], [[4, [4, 16]]], [[20, [18, 19]]], [[7, [7, 14]]], [[20, [20, 28, 29, 26]]], [[6, [6, 8, 22]]], [[12, [12, 17, 9, 25]]], [[24, [24, 27, 30]]], [[15, [15, 21]]], [[10, [10]]]]];2;2;8
30;RC101_1.dat;719;[[[[0, [23, 21, 22, 18, 19, 20, 28, 26, 27, 29, 25, 30]], [22, []], [19, []], [18, []], [21, []], [23, []], [25, []], [24, [24]], [20, []], [30, []], [28, []], [26, []], [27, []], [29, []]], [[0, [2, 6, 7, 8, 1, 5, 3, 15, 16, 12, 10, 11, 9, 14]], [4, [4]], [8, []], [7, []], [6, []], [2, []], [1, []], [5, []], [3, []], [10, []], [11, []], [9, []], [13, [13]], [15, []], [16, []], [17, [17]], [14, []], [12, []]]], [[[4, [4]]], [[24, [24]]], [[13, [13]]], [[17, [17]]]]];2;2;2
30;RC101_1.dat;719;[[[[0, [4, 5, 11, 1, 14, 10, 2]], [3, [3, 17, 8]], [5, []], [1, []], [4, []], [8, []], [2, []], [6, [6]], [7, [7]], [9, [9]], [13, [13]], [16, [16]], [15, [15]], [11, []], [10, []], [17, []], [14, []], [12, [12]]], [[0, [26, 27, 28, 30, 24, 29, 23, 19, 21, 18, 25, 22]], [29, []], [27, []], [26, []], [28, []], [30, []], [18, []], [21, []], [23, []], [25, []], [19, []], [20, [20]], [22, []], [24, []]]], [[[3, [3]]], [[3, [17, 8]]], [[6, [6]]], [[7, [7]]], [[9, [9]]], [[13, [13]]], [[16, [16]]], [[15, [15]]], [[20, [20]]], [[12, [12]]]]];2;2;4
30;RC101_1.dat;672,0570963;[[[[0, [26, 29, 22, 23]], [19, [19, 18, 24, 20]], [18, []], [24, [27, 30, 28, 21, 25]], [23, []], [25, []], [21, []], [20, []], [22, []], [30, []], [28, []], [26, []], [27, []], [29, []]], [[0, [1]], [1, []], [4, [4, 3, 13]], [2, [2, 5]], [3, []], [5, []], [8, [8, 15]], [6, [6, 7]], [7, []], [9, [9, 10]], [13, [17, 11, 16]], [15, []], [11, []], [10, []], [16, []], [17, []], [14, [14]], [12, [12]]]], [[[4, [4, 3, 13]]], [[2, [2, 5]]], [[19, [19, 24]]], [[19, [18, 20]]], [[24, [28, 21]]], [[24, [27, 30, 25]]], [[8, [8, 15]]], [[6, [6, 7]]], [[9, [9, 10]]], [[13, [17, 11, 16]]], [[14, [14]]], [[12, [12]]]]];2;2;8
30;RC101_2.5.dat;1090;[[[[0, [23, 21, 19, 18, 22, 24, 30, 27, 28, 29, 26]], [22, []], [24, [25, 20]], [25, []], [23, []], [21, []], [18, []], [19, []], [20, []], [30, []], [28, []], [26, []], [27, []], [29, []]], [[0, [4, 8, 7, 10, 11, 6, 13, 16, 14, 9, 3, 5, 1, 12]], [2, [2]], [3, []], [5, []], [1, []], [4, []], [8, []], [7, []], [6, []], [12, []], [10, []], [11, []], [9, []], [13, []], [15, [15]], [16, []], [17, [17]], [14, []]]], [[[2, [2]]], [[24, [25, 20]]], [[15, [15]]], [[17, [17]]]]];2;2;2
30;RC101_2.5.dat;1043;[[[[0, [6, 8, 14, 13, 23, 21]], [6, []], [8, []], [12, [12]], [14, []], [13, []], [9, [9, 20]], [24, [24, 25, 18, 19]], [23, []], [25, []], [21, []], [18, []], [19, []], [20, []], [22, [22]]], [[0, [5, 1, 10, 29, 16, 4]], [2, [2, 11]], [4, []], [1, []], [3, [3]], [5, []], [7, [7, 26]], [16, [28]], [11, []], [17, [17, 15]], [15, []], [10, [27, 30]], [27, []], [26, []], [28, []], [30, []], [29, []]]], [[[2, [2, 11]]], [[3, [3]]], [[7, [7, 26]]], [[16, [28]]], [[17, [17, 15]]], [[10, [27]]], [[10, [30]]], [[12, [12]]], [[9, [9, 20]]], [[24, [24, 18]]], [[24, [25, 19]]], [[22, [22]]]]];2;2;4
30;RC101_2.5.dat;954,7687442;[[[[0, [24, 29, 23, 26]], [22, [22, 18, 19]], [19, []], [18, []], [24, [25, 28, 30, 27, 21, 20]], [23, []], [21, []], [25, []], [20, []], [26, []], [28, []], [30, []], [27, []], [29, []]], [[0, []], [16, [16, 13]], [2, [2, 5, 1, 11]], [5, []], [4, [4]], [3, [3]], [1, []], [10, [10]], [13, []], [14, [14, 7]], [7, []], [6, [6, 17, 15]], [8, [8, 9]], [12, [12]], [17, []], [15, []], [11, []], [9, []]]], [[[16, [16, 13]]], [[2, [1, 11]]], [[2, [2, 5]]], [[4, [4]]], [[3, [3]]], [[10, [10]]], [[22, [22, 18, 19]]], [[14, [14, 7]]], [[24, [25, 30, 27, 20]]], [[24, [28, 21]]], [[6, [6, 17, 15]]], [[8, [8, 9]]], [[12, [12]]]]];2;2;8
30;RC101_2.dat;1006,679873;[[[[0, [29, 26, 27, 30, 28, 25, 23, 18, 21, 19, 22, 20]], [29, []], [27, []], [26, []], [28, []], [30, []], [24, [24]], [25, []], [23, []], [18, []], [21, []], [19, []], [20, []], [22, []]], [[0, [8, 7, 6, 2, 5, 11, 15, 13, 9, 16, 12]], [2, []], [3, [3]], [1, [1, 4]], [5, []], [4, []], [8, []], [7, []], [6, []], [14, [14]], [12, []], [11, []], [9, []], [17, [17]], [16, []], [15, []], [13, []], [10, [10]]]], [[[3, [3]]], [[1, [1, 4]]], [[24, [24]]], [[14, [14]]], [[17, [17]]], [[10, [10]]]]];2;2;2
30;RC101_2.dat;997;[[[[0, [22, 20, 19, 18, 27, 30, 26, 29, 28, 21, 25, 23]], [22, []], [20, []], [19, []], [18, []], [21, []], [23, []], [25, []], [24, [24]], [30, []], [28, []], [26, []], [27, []], [29, []]], [[0, [7, 8, 6, 2, 9, 10, 3, 11, 1, 5]], [1, []], [5, []], [3, []], [4, [4, 16, 13]], [7, []], [8, []], [6, []], [2, []], [12, [12, 17]], [14, [14]], [11, []], [17, []], [16, []], [15, [15]], [13, []], [9, []], [10, []]]], [[[4, [4, 16, 13]]], [[24, [24]]], [[12, [12, 17]]], [[14, [14]]], [[15, [15]]]]];2;2;4
30;RC101_2.dat;877,0512484;[[[[0, [19, 23, 18, 26, 29, 28]], [23, []], [18, []], [19, []], [20, [20, 22]], [22, [30, 27]], [30, []], [29, []], [27, []], [26, []], [28, []]], [[0, []], [13, [13, 16, 11, 1]], [16, []], [11, []], [10, [10, 4, 5, 3, 24]], [2, [2, 14]], [7, [7]], [3, []], [1, []], [5, []], [4, []], [8, [8, 6]], [6, []], [12, [12, 17, 15]], [14, []], [17, []], [15, []], [9, [9]], [24, [25, 21]], [25, []], [21, []]]], [[[13, [1]]], [[13, [13, 16, 11]]], [[10, [3, 24]]], [[10, [10, 4, 5]]], [[2, [2, 14]]], [[7, [7]]], [[20, [20, 22]]], [[8, [8, 6]]], [[22, [30, 27]]], [[12, [12, 17, 15]]], [[9, [9]]], [[24, [21]]], [[24, [25]]]]];2;2;8
30;RC101_2.dat_30;1015;[[[[0, [15, 10, 16, 13, 11, 1, 5, 9]], [15, []], [10, []], [16, []], [13, []], [9, []], [11, []], [12, [12, 17]], [17, []], [14, [14, 3]], [7, [7]], [6, [6, 4]], [4, []], [3, []], [1, []], [5, []], [8, [8]], [2, [2]]], [[0, [19, 25, 23, 21, 30, 28, 26, 29, 18, 27, 20]], [22, [22]], [24, [24]], [20, []], [19, []], [25, []], [23, []], [21, []], [18, []], [30, []], [28, []], [26, []], [27, []], [29, []]]], [[[22, [22]]], [[24, [24]]], [[12, [12, 17]]], [[14, [14, 3]]], [[7, [7]]], [[6, [6, 4]]], [[8, [8]]], [[2, [2]]]]];2;2;4
30;RC101_3.dat;1254;[[[[0, [28, 26, 27, 29, 30, 25, 19]], [25, []], [19, []], [30, []], [28, []], [26, []], [27, []], [29, []]], [[0, [3, 2, 1, 8, 7, 11, 21, 24, 5, 10, 6, 13, 15, 20, 18]], [2, []], [3, []], [1, []], [5, []], [4, [4, 23]], [8, []], [7, []], [6, []], [12, [12, 17]], [17, []], [14, [14, 22]], [13, []], [16, [16]], [15, []], [11, []], [10, []], [9, [9]], [24, []], [23, []], [21, []], [18, []], [20, []], [22, []]]], [[[4, [4, 23]]], [[12, [12, 17]]], [[14, [14, 22]]], [[16, [16]]], [[9, [9]]]]];2;2;2
30;RC101_3.dat;1241;[[[[0, [11, 15, 16, 17, 14, 20, 19, 21, 13, 25, 23]], [12, [12, 10, 18]], [14, []], [17, []], [16, []], [15, []], [11, []], [10, []], [9, [9, 22]], [13, []], [25, []], [23, []], [21, []], [18, []], [19, []], [20, []], [22, []], [24, [24]]], [[0, [3, 1, 5, 7, 6, 2, 26, 28]], [2, []], [4, [4, 29]], [3, []], [1, []], [5, []], [8, [8]], [7, []], [6, [27, 30]], [29, []], [27, []], [26, []], [28, []], [30, []]]], [[[4, [4, 29]]], [[8, [8]]], [[6, [27, 30]]], [[12, [12, 10, 18]]], [[9, [9, 22]]], [[24, [24]]]]];2;2;4
30;RC101_3.dat;1115,057096;[[[[0, []], [11, [11, 13, 1]], [3, [3, 16]], [2, [2, 4]], [4, []], [1, []], [16, []], [13, [18, 28]], [18, []], [20, [20, 30, 27, 29]], [30, []], [28, []], [27, []], [29, []]], [[0, [26, 23]], [26, []], [23, []], [22, [22, 19, 5]], [19, []], [24, [24, 10]], [5, []], [7, [7]], [6, [6, 15]], [8, [8, 17, 14]], [10, []], [15, []], [17, []], [14, []], [12, [12, 9, 25]], [9, [21]], [25, []], [21, []]]], [[[11, [1]]], [[11, [11, 13]]], [[3, [3, 16]]], [[2, [2, 4]]], [[22, [22, 19, 5]]], [[24, [24, 10]]], [[7, [7]]], [[13, [18, 28]]], [[6, [6, 15]]], [[8, [8, 17, 14]]], [[20, [20, 29]]], [[20, [30, 27]]], [[12, [12, 9, 25]]], [[9, [21]]]]];2;2;8
30;RC101_3.dat_30;1233;[[[[0, [21, 19, 25, 23, 14, 10, 17, 16, 13, 15, 18, 20]], [12, [12, 24]], [14, []], [17, []], [16, []], [15, []], [10, []], [11, [11]], [13, []], [9, [9, 22]], [25, []], [23, []], [21, []], [18, []], [19, []], [20, []], [24, []], [22, []]], [[0, [7, 6, 5, 4, 1, 3, 2, 28, 26, 29]], [2, []], [3, []], [1, []], [5, []], [4, []], [8, [8]], [7, []], [6, [30, 27]], [30, []], [28, []], [26, []], [27, []], [29, []]]], [[[8, [8]]], [[6, [30, 27]]], [[12, [12, 24]]], [[11, [11]]], [[9, [9, 22]]]]];2;2;4
50;C101_0.5.dat;497;[[[[0, [39, 38, 35, 47, 49, 29, 45, 34, 33, 36, 31, 30, 42, 28, 41, 40, 43, 46, 26, 27, 20, 50, 24, 25]], [40, []], [41, []], [42, []], [43, []], [46, []], [44, [44]], [45, []], [48, [48]], [50, []], [49, []], [47, []], [35, []], [31, []], [34, []], [36, []], [39, []], [38, []], [37, [37]], [33, []], [32, [32]], [29, []], [30, []], [28, []], [26, []], [24, []], [27, []], [25, []], [22, [22]], [20, []]], [[0, [14, 16, 12, 15, 13, 17, 7, 5, 3, 2, 1, 6, 21, 23, 9]], [7, []], [8, [8]], [11, [11, 4]], [12, []], [14, []], [16, []], [15, []], [13, []], [17, []], [18, [18]], [19, [19]], [9, []], [1, []], [4, []], [6, []], [2, []], [5, []], [3, []], [10, [10]], [23, []], [21, []]]], [[[8, [8]]], [[11, [11, 4]]], [[44, [44]]], [[48, [48]]], [[18, [18]]], [[19, [19]]], [[37, [37]]], [[32, [32]]], [[10, [10]]], [[22, [22]]]]];2;2;2
50;C101_0.5.dat;432;[[[[0, [38, 36, 40, 41, 37, 48, 31, 34, 50, 35, 42, 45, 39, 44, 43, 49, 33, 29, 47, 46, 26, 23, 24]], [49, []], [47, []], [43, []], [42, []], [41, []], [40, []], [44, []], [46, []], [45, []], [48, []], [50, []], [31, []], [35, []], [37, []], [38, []], [39, []], [36, []], [34, []], [33, []], [32, [32]], [29, []], [24, []], [26, []], [23, []]], [[0, [14, 19, 15, 18, 16, 17, 13, 11, 5, 1, 10, 27, 30, 6, 8, 7, 25, 28, 9]], [5, []], [3, [3, 20, 4]], [7, []], [10, []], [8, []], [6, []], [4, []], [1, []], [2, [2, 12, 22]], [9, []], [11, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [30, []], [28, []], [27, []], [25, []], [22, []], [21, [21]], [20, []]]], [[[3, [3]]], [[3, [20, 4]]], [[2, [2]]], [[2, [12, 22]]], [[32, [32]]], [[21, [21]]]]];2;2;4
50;C101_0.5.dat;456,5582946;[[[[0, [50, 49, 31, 47, 38, 33, 46, 35, 43, 26, 23]], [43, [32, 37, 34]], [50, []], [48, [48, 44, 36]], [44, []], [45, [45, 40, 42]], [42, []], [40, []], [41, [41, 39]], [46, []], [47, []], [49, []], [35, []], [31, []], [32, []], [33, []], [37, []], [38, []], [39, []], [36, []], [34, []], [25, [25, 20]], [26, []], [23, []], [20, []]], [[0, [16, 13, 1]], [5, [5, 11]], [4, [4, 19, 3]], [11, []], [10, [10, 2, 22]], [3, []], [7, [7, 8]], [6, [6, 9]], [2, []], [1, []], [8, []], [9, []], [13, []], [19, []], [16, []], [12, [12, 14, 18]], [14, []], [15, [15, 17]], [18, []], [17, []], [30, [30, 29]], [28, [28, 27, 21]], [29, []], [27, []], [24, [24]], [22, []], [21, []]]], [[[5, [5, 11]]], [[4, [4, 19, 3]]], [[10, [10, 2, 22]]], [[7, [7, 8]]], [[6, [6, 9]]], [[43, [32, 37, 34]]], [[48, [48, 44, 36]]], [[45, [45, 40, 42]]], [[41, [41, 39]]], [[12, [12, 14, 18]]], [[15, [15, 17]]], [[30, [30, 29]]], [[28, [28, 27, 21]]], [[24, [24]]], [[25, [25, 20]]]]];2;2;8
50;C101_0.5.dat_50;434;[[[[0, [44, 39, 37, 47, 29, 38, 36, 24, 33, 34, 25, 45, 35, 46, 32, 42, 43, 41, 40, 50, 49]], [43, []], [42, []], [41, []], [40, []], [44, []], [45, []], [46, []], [49, []], [47, []], [48, [48, 22]], [50, []], [35, []], [31, [31]], [32, []], [33, []], [37, []], [38, []], [39, []], [36, []], [34, []], [29, []], [24, []], [25, []], [22, []]], [[0, [16, 10, 15, 13, 19, 8, 14, 17, 7, 1, 5, 2, 26, 6, 4, 11, 18]], [7, []], [3, [3, 12, 30]], [5, []], [4, []], [1, []], [2, []], [6, []], [8, []], [9, [9]], [11, []], [10, []], [13, []], [14, []], [12, []], [16, []], [15, []], [19, []], [18, []], [17, []], [30, []], [27, [27, 28]], [28, []], [26, []], [23, [23]], [21, [21]], [20, [20]]]], [[[3, [3]]], [[3, [12, 30]]], [[9, [9]]], [[27, [27, 28]]], [[48, [48, 22]]], [[31, [31]]], [[23, [23]]], [[21, [21]]], [[20, [20]]]]];2;2;4
50;C101_1.5.dat;735,3482504;[[[[0, [13, 17, 16, 19, 12, 18, 8, 1, 6, 30, 11, 4, 24, 2]], [7, [7]], [10, [10]], [5, [5, 3]], [2, []], [4, []], [11, []], [8, []], [1, []], [3, []], [6, []], [9, [9]], [13, []], [17, []], [18, []], [19, []], [14, [14]], [12, []], [16, []], [15, [15]], [30, []], [29, [29]], [24, []]], [[0, [37, 31, 39, 38, 44, 35, 36, 40, 50, 32, 33, 48, 43, 20, 23, 21, 26, 28, 25, 27, 22, 49]], [43, []], [49, []], [47, [47, 41]], [42, [42]], [41, []], [40, []], [44, []], [48, []], [45, [45]], [46, [46]], [50, []], [31, []], [35, []], [36, []], [34, [34]], [32, []], [33, []], [37, []], [38, []], [39, []], [25, []], [26, []], [28, []], [27, []], [22, []], [23, []], [21, []], [20, []]]], [[[7, [7]]], [[10, [10]]], [[5, [5, 3]]], [[47, [47, 41]]], [[42, [42]]], [[45, [45]]], [[46, [46]]], [[9, [9]]], [[34, [34]]], [[14, [14]]], [[15, [15]]], [[29, [29]]]]];2;2;2
50;C101_1.5.dat;721;[[[[0, [10, 30, 38, 33, 11, 36, 8, 28, 35, 45, 39, 26, 23, 21, 22, 27, 48, 44, 24]], [8, []], [9, [9, 37]], [11, []], [10, []], [23, []], [22, []], [24, []], [27, []], [26, []], [28, []], [30, []], [32, [32]], [33, []], [37, []], [38, []], [39, []], [36, []], [35, []], [31, [31, 46]], [50, [50]], [46, []], [45, []], [48, []], [44, []], [21, []]], [[0, [19, 16, 49, 1]], [5, [5, 29, 13, 43, 3]], [2, [2]], [3, []], [4, [4]], [1, []], [7, [7, 14]], [6, [6, 47]], [17, [17, 15, 18]], [13, []], [18, []], [19, []], [15, []], [14, []], [16, []], [12, [12]], [25, [25, 41]], [29, []], [34, [34, 42]], [49, []], [43, []], [42, []], [41, []], [40, [40]], [47, []], [20, [20]]]], [[[5, [13, 43]]], [[5, [5, 29, 3]]], [[2, [2]]], [[4, [4]]], [[7, [7, 14]]], [[6, [6, 47]]], [[9, [9, 37]]], [[17, [17, 15, 18]]], [[12, [12]]], [[32, [32]]], [[25, [25, 41]]], [[34, [34, 42]]], [[31, [31, 46]]], [[50, [50]]], [[40, [40]]], [[20, [20]]]]];2;2;4
50;C101_1.5.dat;593,6488999;[[[[0, [1]], [23, [23]], [2, [2, 26, 35]], [4, [4, 5, 3, 43]], [5, []], [3, []], [1, []], [24, [24, 46]], [26, []], [21, [21, 36, 38, 44, 47, 33, 31]], [47, []], [43, []], [40, [40, 50]], [44, []], [41, [41, 32, 42]], [42, []], [46, []], [45, [45, 48]], [48, []], [50, []], [35, [37, 39, 34]], [31, []], [32, []], [33, []], [37, []], [38, []], [39, []], [36, []], [34, []]], [[0, [13]], [49, [49, 11]], [11, []], [10, [10, 19]], [22, [22, 18, 14]], [8, [8, 7, 17]], [7, []], [6, [6, 15, 9]], [9, []], [13, []], [17, []], [18, []], [19, []], [14, []], [12, [12, 16]], [16, []], [15, []], [30, [30, 29]], [28, [28, 20]], [29, []], [27, [27, 25]], [25, []], [20, []]]], [[[23, [23]]], [[49, [49, 11]]], [[2, [2, 26, 35]]], [[4, [4, 5, 3, 43]]], [[10, [10, 19]]], [[22, [22, 18, 14]]], [[24, [24, 46]]], [[21, [38, 31]]], [[21, [21, 47, 33]]], [[21, [36, 44]]], [[8, [8, 7, 17]]], [[6, [6, 15, 9]]], [[40, [40, 50]]], [[41, [41, 32, 42]]], [[45, [45, 48]]], [[12, [12, 16]]], [[35, [37, 39, 34]]], [[30, [30, 29]]], [[28, [28, 20]]], [[27, [27, 25]]]]];2;2;8
50;C101_1.dat;583;[[[[0, [35, 31, 33, 39, 38, 37, 36, 44, 45, 48, 49, 29, 32, 34, 41, 46, 26, 25, 20]], [26, []], [25, []], [29, []], [32, []], [33, []], [34, []], [36, []], [39, []], [38, []], [37, []], [35, []], [31, []], [49, []], [47, [47, 43]], [43, []], [42, [42]], [46, []], [41, []], [40, [40]], [44, []], [45, []], [48, []], [50, [50]], [20, []]], [[0, [12, 15, 18, 13, 17, 16, 14, 19, 30, 23, 5, 3, 9, 11, 28, 27, 10, 2, 1, 8, 6, 24]], [7, [7, 21]], [6, []], [2, []], [1, []], [4, [4]], [5, []], [3, []], [8, []], [9, []], [11, []], [10, []], [21, []], [22, [22]], [23, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [30, []], [28, []], [27, []], [24, []]]], [[[7, [7, 21]]], [[4, [4]]], [[47, [47, 43]]], [[22, [22]]], [[42, [42]]], [[40, [40]]], [[50, [50]]]]];2;2;2
50;C101_1.dat;580;[[[[0, [34, 38, 39, 37, 35, 31, 41, 42, 36, 50, 43, 32, 44, 24, 49]], [22, [22]], [24, []], [29, [29, 33]], [32, []], [33, []], [34, []], [36, []], [38, []], [39, []], [37, []], [35, []], [31, []], [49, []], [43, []], [42, []], [41, []], [40, [40, 45, 48]], [44, []], [45, []], [48, []], [50, []], [46, [46]], [47, [47]]], [[0, [15, 12, 19, 13, 2, 10, 4, 17, 18, 28, 26, 30, 23, 27, 21, 20, 11, 1, 3, 5]], [25, [25]], [27, []], [30, []], [13, []], [17, []], [18, []], [19, []], [15, []], [16, [16, 7, 14, 8]], [14, []], [12, []], [11, []], [8, []], [9, [9]], [6, [6]], [2, []], [1, []], [4, []], [3, []], [5, []], [7, []], [10, []], [26, []], [28, []], [23, []], [21, []], [20, []]]], [[[22, [22]]], [[25, [25]]], [[29, [29, 33]]], [[16, [16]]], [[16, [7, 14, 8]]], [[9, [9]]], [[6, [6]]], [[40, [40, 45, 48]]], [[46, [46]]], [[47, [47]]]]];2;2;4
